GEMEENTE;JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE; SUBSIDIE BESCHIKT ;BEKOSTIGD UIT RIJKSINKOMSTEN;WETTELIJKE TAAK;GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
Vlaardingen;2017;Q1;Programma Sociaal domein;Protestants Christelijke Ouderen Bond (P.C.O.B.); 850,00 ;Nee;Nee;Activiteiten in het kader van belangenbehartiging van 55-plussers in Vlaardingen en ontspannende activiteiten voor deze doelgroep.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Vlaardings Overleg Revalidatie; 2.150,00 ;Nee;Nee;Activiteiten met betrekking tot het behartigen van belangen van mensen met een lichamelijke handicap en het bevorderen van de toegankelijkheid van gebouwen en openbaar gebied voor de mindervalide inwoners van Vlaardingen.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Jeugdstad Vlaardingen; 13.736,00 ;Nee;Nee;Organiseren tal van activiteiten voor schooljeugd in kerstvakantie 2017.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Humanitas; 13.900,00 ;Nee;Nee;Humanitas levert ongeveer 8-18 trajecten voor ernstig zieke clienten die door deze intensieve buddy-trajecten minder een beroep doen op zwaardere zorg, waardoor mantelzorgers worden ontlast en de kwaliteit van leven van de clienten wordt vergroot. Humanitas zorgt voor samenwerking met het wijkteam en mantelzorg-organisaties.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Wijkcentrum t Nieuwelant; 14.995,00 ;Nee;Nee;In overleg met de wijk worden activiteiten ontwikkeld en aangeboden voor de buurt. Samenwerking met buurtinitiatieven en andere organisaties wordt opgepakt en in dienst gesteld van de exploitatie van het buurtcentrum
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Schuldhulpmaatje Vlaardingen; 15.000,00 ;Nee;Nee;Het bieden van begeleiding aan 50 inwoners van Vlaardingen bij de aanpak van schulden.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Argos Zorggroep; 18.203,00 ;Nee;Nee;Het organiseren en aanbieden van uitjes voor ouderen (boodschappen, cultuur & recreatie) in het kader van de bestrijding van sociaal isolement en eenzaamheid, bevordering van de participatie en zelfredzaamheid en ondersteuning van mantelzorg.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Vele Vlaardingers Een Huis; 25.000,00 ;Ja;Ja;Activieiten op het gebied van (anti)discriminatie. Bieden van een meldpunt, verzorgen rapportage aan het Ministerie van Binnenlandse Zaken en Koninkrijgsrelatie, bieden van hulp aan melders van discriminatie, geven van voorlichting aan scholen en instellingen.
Vlaardingen;2017;Q1;Programma Sociaal domein;Minters; 27.561,00 ;Nee;Nee;60 adviezen aan hulpverleners  a 4 uur x € 72,53, 30 voorlichtingsbijeenkomsten  a 5 uur x € 72,53.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Scouting Vlaardingen; 28.654,00 ;Nee;Nee;Het wekelijks spelen van het scoutingspel voor kinderen en jongeren en het organiseren van eenmalige activiteiten.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Aandachtscentrum Vlaardingen; 29.000,00 ;Nee;Nee;"Openstelling aanloophuis ""de Groene Luiken"" voor o.m. leden van de Oggz-doelgroep; fungeren als postaddres voor adreslozen; signaleren van problemen bij de doelgroepleden, eventueel doorverwijzen; versterking van samenwerking met sociale wijkteams."
Vlaardingen;2017;Q1;Programma Sociaal domein;GGZ Delfland; 30.466,00 ;Nee;Nee;Trainingen preventie psychische en psycho-sociale problematiek. en trainingen gericht op bestrijden van psychische problematiek t.g.v. huiselijk geweld.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Wijzer - Ericaschool; 34.326,00 ;Nee;Nee;Het aanleren van vaardigheden in een vertrouwelijke omgeving aan volssenen met een verstandelijke beperking / persoonlijkheidsstoornis, waardoor zij beter kunnen meedoen in de samenleving en waardoor vereenzaming wordt voorkomen. De activiteiten vinden plaats in het kader van de avondschool Erica voor oud-leerlingen van de Ericaschool SO/SVO, gedurende drie avonden per week (maandag, dinsdag en donderdag), twee uur per avond (van 19.00 - 21.00 uur).15-20 leerlingen per avond. 
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Pameijer - Mozaik ; 59.141,00 ;Nee;Nee;Het bieden van nazorg aan ex-gedetineerden in opdracht van de gemeentelijke coördinator nazorg ex-gedetineerden.
Vlaardingen;2017;Q1;Programma Sociaal domein;CJV Vlaardingen; 60.888,00 ;Nee;Nee;Groeps- en clubwerk voor jongeren in de leeftijd van 7 tot 12 jaar. Sociëteits- en groepswerk voor jongeren in de leeftijd van 12 tot 23 jaar. En eenmalige groepsactiviteiten zoals sinterklaasintocht, kamp en weekendwerk. In dienst hebben van een pedagogisch werker.
Vlaardingen;2017;Q1;Programma Sociaal domein;UN1EK kinderopvang B.V.; 63.000,00 ;Ja;Ja;Kinderopvang als onderdeel van een adequaat hulpveleningstraject op advies van het wijkteam.
